tag mll pt1 eta1 pt2 eta2 pt3 eta3 pt4 eta4 met
g 127.764436136 68.2366 0.315686 60.1004 0.518196 NA NA NA NA 341.76
m 91.4002444696 48.7338 1.61943 37.0828 2.38936 NA NA NA NA 278.118
m 93.18593079 63.8946 1.29498 28.714 2.18363 NA NA NA NA 507.287
g 107.393439802 67.1747 1.05233 43.3659 1.18087 NA NA NA NA 509.148
g 124.355171533 57.229 0.0353905 45.07 1.35195 NA NA NA NA 833.286
g 104.822589346 56.379 1.10933 51.2817 0.869411 NA NA NA NA 927.358
g 144.135850161 64.7924 0.0586213 66.2161 0.947282 NA NA NA NA 487.366
g 103.544455469 44.2458 1.75279 45.5324 0.642259 NA NA NA NA 424.527
g 131.725055361 53.4722 1.16221 44.2442 0.500868 NA NA NA NA 856.919
m 3.03854641746 40.2077 0.536858 30.9149 0.572925 NA NA NA NA 792.266
e 86.4361744532 30.7102 0.628481 22.063 1.58656 NA NA NA NA 388.47
m 2.63297883605 27.2969 0.976198 26.8608 1.03458 NA NA NA NA 674.52
e 3.20247068947 25.6805 1.21782 9.00948 1.32971 NA NA NA NA 405.338
g 148.031192989 42.6751 0.724993 33.9785 1.86177 NA NA NA NA 634.89
m 93.6534920539 43.5799 1.64901 39.7521 0.658622 NA NA NA NA 261.491
m 86.6128284704 42.0272 0.712725 33.8594 0.367693 NA NA NA NA 469.069
g 132.085457337 57.6554 0.639782 55.154 1.83873 NA NA NA NA 818.898
g 109.051190556 47.4288 0.77347 33.4659 0.939133 NA NA NA NA 318.167
g 103.52963123 68.1624 1.78326 39.7008 1.57491 NA NA NA NA 578.507
m 94.3557966539 44.6117 1.33146 44.0698 2.41029 NA NA NA NA 447.06
e 88.4559065305 45.6794 1.17603 35.665 2.1347 NA NA NA NA 393.705
e 85.8783185182 55.5862 0.70619 46.1337 0.901532 NA NA NA NA 401.874
g 114.915541678 56.3305 1.62649 52.867 2.28092 NA NA NA NA 642.263
e 87.912603409 66.769 1.2749 31.0867 1.27558 NA NA NA NA 423.034
g 110.488587723 47.054 2.19184 38.0224 0.625496 NA NA NA NA 478.956
e 92.8753539562 55.2425 1.76809 30.9201 0.673935 NA NA NA NA 426.583
m 94.8935874448 48.0712 2.19372 46.8671 2.23563 NA NA NA NA 540.307
g 131.189166713 51.0032 2.22742 50.328 0.713689 NA NA NA NA 763.164
m 88.2088640396 54.3486 1.13468 35.3767 0.126236 NA NA NA NA 479.686
m 86.2841240238 46.1432 0.811604 40.5758 0.77281 NA NA NA NA 407.245
e 83.6498234768 39.8241 1.52899 37.3785 0.685014 NA NA NA NA 259.323
m 90.1586596011 63.1682 1.42871 22.1708 0.136121 NA NA NA NA 795.576
g 119.441802085 99.4837 0.219705 35.0039 0.849309 NA NA NA NA 574.034
g 112.540010007 71.1529 0.807589 43.1239 0.410713 NA NA NA NA 474.557
m 89.0125828211 55.2798 0.822459 36.1364 0.542353 NA NA NA NA 260.445
e 87.6257186359 47.755 0.860342 38.8862 0.473903 NA NA NA NA 238.793
g 102.47041903 89.117 0.292828 32.5925 0.0582425 NA NA NA NA 682.8
e 88.0747718986 45.3456 0.270072 37.0829 0.494223 NA NA NA NA 410.916
m 87.2835264499 33.1619 0.0340584 30.4948 1.64239 NA NA NA NA 421.474
g 144.928666095 44.3559 1.11646 36.5348 1.27098 NA NA NA NA 548.525
e 9.5160236764 37.0373 0.707622 14.5187 0.809587 NA NA NA NA 398.382
m 88.0687046641 40.7068 2.36357 39.9848 1.4982 NA NA NA NA 873.584
g 160.29479242 57.2325 1.75265 37.0171 0.632608 NA NA NA NA 496.164
g 128.552913057 61.9533 0.340277 53.0172 1.31741 NA NA NA NA 357.615
e 947.802352483 475.856 0.286218 444.944 0.774948 NA NA NA NA 1324.11
e 88.3843783412 43.5662 0.714328 38.8073 0.0668913 NA NA NA NA 390.826
m 93.4439786321 54.6798 0.510368 40.116 0.47746 NA NA NA NA 354.539
e 90.3250226085 42.6083 0.80174 36.249 1.88221 NA NA NA NA 201.864
e 88.8578051132 35.4131 1.97674 17.4796 0.42498 NA NA NA NA 254.813
g 113.369532065 52.3318 1.02866 55.6439 0.370063 NA NA NA NA 520.473
e 94.7085196638 75.3485 1.64774 22.2293 0.472194 NA NA NA NA 452.134
e 84.0893831005 43.4604 0.530208 37.8698 1.08746 NA NA NA NA 513.289
m 1006.20925518 254.497 0.0676073 243.652 2.59344 NA NA NA NA 249.522
e 87.4179424498 47.3122 0.457294 43.6168 0.0963621 NA NA NA NA 608.396
e 93.2197986914 42.2569 2.14943 40.6064 1.15459 NA NA NA NA 504.183
e 89.3301647472 42.1906 1.19893 35.0198 2.33398 NA NA NA NA 408.511
m 87.9418159552 66.8649 1.80012 21.9957 0.727198 NA NA NA NA 642.449
m 9.10175051811 23.462 0.359354 20.2503 0.688055 NA NA NA NA 443.141
e 3.09310298779 23.8709 0.0133216 12.7886 0.0571779 NA NA NA NA 274.959
m 90.9627973434 61.2286 1.55169 21.1149 0.125933 NA NA NA NA 363.423
m 94.1135033868 54.7982 0.851822 40.6726 0.737103 NA NA NA NA 404.809
g 137.766167 141.552 0.320609 44.7096 0.0633173 NA NA NA NA 552.769
m 102.239885031 54.0329 0.706196 45.159 0.161171 NA NA NA NA 360.851
e 2.9750096311 30.4174 1.86789 14.1744 1.96965 NA NA NA NA 313.743
e 98.5568017395 56.4727 0.623638 53.8656 0.264874 NA NA NA NA 432.746
g 128.514880815 59.8686 2.04226 41.8619 0.55896 NA NA NA NA 377.137
g 113.289227372 61.9902 0.694585 49.6098 1.27426 NA NA NA NA 457.8
e 10.4096781836 21.013 1.10145 11.2478 0.668528 NA NA NA NA 369.591
m 88.1899603298 42.6715 0.284275 35.1763 1.32451 NA NA NA NA 415.108
g 111.60955274 52.9562 0.846029 44.9277 0.235651 NA NA NA NA 498.652
e 96.0238630081 34.0353 0.0639876 37.536 1.54991 NA NA NA NA 536.999
e 91.1463054029 46.3754 0.0714998 41.9575 0.510115 NA NA NA NA 426.628
m 92.1964889674 69.0138 1.50994 41.9067 0.88928 NA NA NA NA 686.978
m 84.6616665242 43.4504 0.953419 40.2126 1.28313 NA NA NA NA 345.948
e 88.7317516884 87.7926 0.303471 22.6652 0.23534 NA NA NA NA 405.195
e 10.1045812121 21.7016 0.112201 14.4301 0.0147993 NA NA NA NA 413.887
e 93.7535706244 25.839 0.657919 18.2799 2.1877 NA NA NA NA 243.502
g 108.52827174 44.9433 0.572145 45.7686 1.84211 NA NA NA NA 537.727
g 138.792038681 74.9594 0.709664 53.1378 0.175754 NA NA NA NA 440.338
e 90.3395598153 49.5558 0.124439 43.0549 0.275234 NA NA NA NA 625.785
m 91.9020173044 53.2845 0.458519 39.2639 0.222502 NA NA NA NA 578.863
g 149.69540627 65.841 0.459634 53.5252 1.89605 NA NA NA NA 419.289
m 112.840441365 28.1951 0.44294 26.7184 2.25425 NA NA NA NA 265.771
m 1168.66014718 417.713 1.40711 343.328 0.593135 NA NA NA NA 614.781
e 90.3892207624 49.0146 2.21018 12.3949 0.398712 NA NA NA NA 462.169
m 3.2210141133 27.1904 1.52243 25.8563 1.49002 NA NA NA NA 445.321
e 86.0566932185 38.3307 1.5921 25.6133 0.126854 NA NA NA NA 427.971
m 1294.09735133 615.893 0.782527 490.972 0.390181 NA NA NA NA 376.437
g 108.303942434 85.7719 0.305038 37.4892 0.895753 NA NA NA NA 705.382
m 93.8429363732 62.787 0.708313 35.132 0.702028 NA NA NA NA 615.725
m 962.5769571 413.813 1.62143 344.065 0.168922 NA NA NA NA 249.863
m 10.4624886827 27.6086 0.865028 27.3534 0.714117 NA NA NA NA 1111.67
m 91.0370239247 44.4842 1.9284 43.3684 1.38715 NA NA NA NA 571.678
g 142.479917911 56.8278 0.439014 44.5089 1.32978 NA NA NA NA 504.242
g 130.52107799 67.6567 0.766617 46.1096 1.9139 NA NA NA NA 386.443
m 999.797070855 602.433 0.71294 428.073 0.592343 NA NA NA NA 506.712
g 109.939993246 96.9864 1.04827 13.5841 1.08519 NA NA NA NA 506.712
g 124.937829846 83.5359 0.53236 30.2832 0.832984 NA NA NA NA 721.35
e 90.3496661513 47.0929 1.7523 47.7276 2.03842 NA NA NA NA 310.842
m 91.192557384 40.5996 0.317436 39.6209 1.39459 NA NA NA NA 745.0
m 93.8465616727 48.3889 1.98283 44.5264 1.67396 NA NA NA NA 532.117
e 80.3301977604 61.0629 0.999856 25.9705 1.32533 NA NA NA NA 243.864
e 87.1142401687 43.477 0.540507 40.4691 0.308811 NA NA NA NA 327.593
g 111.809040029 40.9812 1.04351 34.8634 0.843891 NA NA NA NA 428.911
m 93.6901699288 48.7869 1.97406 44.5062 1.76797 NA NA NA NA 438.809
g 105.980471037 47.2508 0.199986 45.1458 1.36602 NA NA NA NA 625.317
g 149.987011862 79.866 1.3339 69.8227 1.13694 NA NA NA NA 536.331
g 120.28100194 60.0644 0.302407 54.433 0.985499 NA NA NA NA 428.024
m 3.30521757269 29.5399 0.205287 25.2361 0.103976 NA NA NA NA 474.88
g 102.822071366 48.5627 0.701289 38.1007 0.535353 NA NA NA NA 549.802
e 92.1081946183 40.3407 2.15148 36.576 0.904522 NA NA NA NA 474.473
e 105.928919053 45.5602 0.640349 12.654 2.21776 NA NA NA NA 680.446
g 109.820731836 88.9284 1.59308 36.5618 2.19742 NA NA NA NA 545.738
g 115.06198633 69.0787 0.481679 41.8335 1.7391 NA NA NA NA 349.036
g 113.23155149 61.2088 0.117357 34.844 1.49441 NA NA NA NA 465.554
m 92.1694244028 38.9401 0.201064 38.7738 1.00763 NA NA NA NA 450.035
e 86.4988102311 43.7136 1.85841 37.5186 1.0722 NA NA NA NA 383.03
g 99.758834737 45.0876 0.180584 33.3835 1.67766 NA NA NA NA 401.182
m 9.98091889086 54.7664 0.752176 37.484 0.597531 NA NA NA NA 624.562
g 107.040110721 71.4761 0.489272 31.7606 0.572015 NA NA NA NA 524.292
m 91.8540367845 45.3389 0.971675 44.4902 0.528868 NA NA NA NA 593.275
g 130.187698824 79.5749 1.55527 49.6203 1.01728 NA NA NA NA 403.902
e 91.3246592481 36.1098 0.450535 35.6844 1.89742 NA NA NA NA 430.691
g 130.299703495 60.1011 0.742826 33.9931 1.08737 NA NA NA NA 310.901
e 90.2821514734 76.7698 1.27817 25.9776 1.73778 NA NA NA NA 353.934
g 128.004452834 57.6112 0.300541 49.398 0.943889 NA NA NA NA 323.139
g 137.076703616 41.6564 0.482916 34.178 1.93176 NA NA NA NA 402.6
e 93.3475552382 49.078 1.28752 39.2914 0.555028 NA NA NA NA 462.046
e 85.5800698536 26.8587 2.04657 25.4148 0.10679 NA NA NA NA 235.728
e 90.9885400783 47.3378 0.84611 43.2222 0.586159 NA NA NA NA 259.3
e 82.8479775235 43.5551 0.86822 39.5772 0.877472 NA NA NA NA 485.965
m 89.9758840733 47.0481 0.15183 41.1875 0.278263 NA NA NA NA 510.072
m 1021.5662388 280.915 2.32682 161.721 0.715766 NA NA NA NA 312.433
g 110.392041997 50.6535 1.1842 45.1841 2.29232 NA NA NA NA 523.745
